,LHS,RHS,support,confidence,coverage,lift,count
1,{ETHYLCELLULOSE},{TITANIUM DIOXIDE},0.01,1.0,0.01,1.19,5
2,{TITANIUM DIOXIDE},{ETHYLCELLULOSE},0.01,0.01,0.84,1.19,5
3,{SORBITOL},{SODIUM HYDROXIDE},0.01,0.71,0.02,41.94,5
4,{SODIUM HYDROXIDE},{SORBITOL},0.01,0.71,0.02,41.94,5
5,{SORBITOL},{MEGLUMINE},0.01,0.86,0.02,32.03,6
6,{MEGLUMINE},{SORBITOL},0.01,0.55,0.03,32.03,6
7,{SORBITOL},{POVIDONE},0.01,0.86,0.02,2.86,6
8,{POVIDONE},{SORBITOL},0.01,0.05,0.3,2.86,6
9,{SORBITOL},{MAGNESIUM STEARATE},0.02,1.0,0.02,1.16,7
10,{MAGNESIUM STEARATE},{SORBITOL},0.02,0.02,0.86,1.16,7
11,{SORBITAN MONOLAURATE},{COPOVIDONE},0.01,1.0,0.01,19.57,5
12,{COPOVIDONE},{SORBITAN MONOLAURATE},0.01,0.24,0.05,19.57,5
13,{SORBITAN MONOLAURATE},{SODIUM STEARYL FUMARATE},0.01,1.0,0.01,11.74,5
14,{SODIUM STEARYL FUMARATE},{SORBITAN MONOLAURATE},0.01,0.14,0.09,11.74,5
15,{SORBITAN MONOLAURATE},"{SILICON DIOXIDE, ANHYDROUS}",0.01,1.0,0.01,2.28,5
16,"{SILICON DIOXIDE, ANHYDROUS}",{SORBITAN MONOLAURATE},0.01,0.03,0.44,2.28,5
17,{SORBITAN MONOLAURATE},{TALC},0.01,1.0,0.01,1.88,5
18,{TALC},{SORBITAN MONOLAURATE},0.01,0.02,0.53,1.88,5
19,{SORBITAN MONOLAURATE},{POLYETHYLENE GLYCOL},0.01,1.0,0.01,1.52,5
20,{POLYETHYLENE GLYCOL},{SORBITAN MONOLAURATE},0.01,0.02,0.66,1.52,5
21,{SORBITAN MONOLAURATE},{TITANIUM DIOXIDE},0.01,1.0,0.01,1.19,5
22,{TITANIUM DIOXIDE},{SORBITAN MONOLAURATE},0.01,0.01,0.84,1.19,5
23,{POLYDEXTROSE},{HYPROMELLOSE},0.01,1.0,0.01,1.79,5
24,{HYPROMELLOSE},{POLYDEXTROSE},0.01,0.02,0.56,1.79,5
25,{GLYCEROL MONOCAPRYLOCAPRATE},"{SILICON DIOXIDE, ANHYDROUS}",0.01,1.0,0.01,2.28,5
26,"{SILICON DIOXIDE, ANHYDROUS}",{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.03,0.44,2.28,5
27,{GLYCEROL MONOCAPRYLOCAPRATE},{TALC},0.01,1.0,0.01,1.88,5
28,{TALC},{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.02,0.53,1.88,5
29,{GLYCEROL MONOCAPRYLOCAPRATE},{IRON OXIDE},0.01,1.0,0.01,1.64,5
30,{IRON OXIDE},{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.02,0.61,1.64,5
31,{GLYCEROL MONOCAPRYLOCAPRATE},{TITANIUM DIOXIDE},0.01,1.0,0.01,1.19,5
32,{TITANIUM DIOXIDE},{GLYCEROL MONOCAPRYLOCAPRATE},0.01,0.01,0.84,1.19,5
33,{SODIUM HYDROXIDE},{MEGLUMINE},0.01,0.71,0.02,26.69,5
34,{MEGLUMINE},{SODIUM HYDROXIDE},0.01,0.45,0.03,26.69,5
35,{SODIUM HYDROXIDE},{POVIDONE},0.01,0.71,0.02,2.39,5
36,{POVIDONE},{SODIUM HYDROXIDE},0.01,0.04,0.3,2.39,5
37,{SODIUM HYDROXIDE},{MAGNESIUM STEARATE},0.01,0.86,0.02,0.99,6
38,{MAGNESIUM STEARATE},{SODIUM HYDROXIDE},0.01,0.02,0.86,0.99,6
39,{GLYCEROL DIBEHENATE},{TALC},0.01,0.71,0.02,1.34,5
40,{TALC},{GLYCEROL DIBEHENATE},0.01,0.02,0.53,1.34,5
41,{GLYCEROL DIBEHENATE},{IRON OXIDE},0.01,0.71,0.02,1.17,5
42,{IRON OXIDE},{GLYCEROL DIBEHENATE},0.01,0.02,0.61,1.17,5
43,{GLYCEROL DIBEHENATE},{TITANIUM DIOXIDE},0.01,0.86,0.02,1.02,6
44,{TITANIUM DIOXIDE},{GLYCEROL DIBEHENATE},0.01,0.02,0.84,1.02,6
45,{SUCROSE},{MICROCRYSTALLINE CELLULOSE},0.01,0.83,0.01,1.07,5
46,{MICROCRYSTALLINE CELLULOSE},{SUCROSE},0.01,0.02,0.78,1.07,5
47,{SUCROSE},{MAGNESIUM STEARATE},0.01,1.0,0.01,1.16,6
48,{MAGNESIUM STEARATE},{SUCROSE},0.01,0.02,0.86,1.16,6
49,{SUCROSE},{TITANIUM DIOXIDE},0.01,0.83,0.01,0.99,5
50,{TITANIUM DIOXIDE},{SUCROSE},0.01,0.01,0.84,0.99,5
51,{OPADRY},{HYPROMELLOSE},0.01,0.56,0.02,1.0,5
52,{HYPROMELLOSE},{OPADRY},0.01,0.02,0.56,1.0,5
53,{OPADRY},{POLYETHYLENE GLYCOL},0.02,0.89,0.02,1.35,8
54,{POLYETHYLENE GLYCOL},{OPADRY},0.02,0.03,0.66,1.35,8
55,{OPADRY},{MICROCRYSTALLINE CELLULOSE},0.02,0.78,0.02,1.0,7
56,{MICROCRYSTALLINE CELLULOSE},{OPADRY},0.02,0.02,0.78,1.0,7
57,{OPADRY},{MAGNESIUM STEARATE},0.02,0.89,0.02,1.03,8
58,{MAGNESIUM STEARATE},{OPADRY},0.02,0.02,0.86,1.03,8
59,{OPADRY},{TITANIUM DIOXIDE},0.02,0.89,0.02,1.06,8
60,{TITANIUM DIOXIDE},{OPADRY},0.02,0.02,0.84,1.06,8
61,{MEGLUMINE},{POLOXAMER},0.01,0.45,0.03,10.38,5
62,{POLOXAMER},{MEGLUMINE},0.01,0.28,0.04,10.38,5
63,{MEGLUMINE},{MAIZE STARCH},0.01,0.45,0.03,4.06,5
64,{MAIZE STARCH},{MEGLUMINE},0.01,0.11,0.11,4.06,5
65,{MEGLUMINE},{POVIDONE},0.03,1.0,0.03,3.34,11
66,{POVIDONE},{MEGLUMINE},0.03,0.09,0.3,3.34,11
67,{MEGLUMINE},{IRON OXIDE},0.02,0.64,0.03,1.05,7
68,{IRON OXIDE},{MEGLUMINE},0.02,0.03,0.61,1.05,7
69,{MEGLUMINE},{MICROCRYSTALLINE CELLULOSE},0.02,0.73,0.03,0.93,8
70,{MICROCRYSTALLINE CELLULOSE},{MEGLUMINE},0.02,0.02,0.78,0.93,8
71,{MEGLUMINE},{MAGNESIUM STEARATE},0.03,1.0,0.03,1.16,11
72,{MAGNESIUM STEARATE},{MEGLUMINE},0.03,0.03,0.86,1.16,11
73,{BRILLIANT BLUE},{TALC},0.01,0.56,0.02,1.04,5
74,{TALC},{BRILLIANT BLUE},0.01,0.02,0.53,1.04,5
75,{BRILLIANT BLUE},{IRON OXIDE},0.01,0.56,0.02,0.91,5
76,{IRON OXIDE},{BRILLIANT BLUE},0.01,0.02,0.61,0.91,5
77,{BRILLIANT BLUE},{POLYETHYLENE GLYCOL},0.01,0.67,0.02,1.01,6
78,{POLYETHYLENE GLYCOL},{BRILLIANT BLUE},0.01,0.02,0.66,1.01,6
79,{BRILLIANT BLUE},{MICROCRYSTALLINE CELLULOSE},0.02,0.89,0.02,1.14,8
80,{MICROCRYSTALLINE CELLULOSE},{BRILLIANT BLUE},0.02,0.02,0.78,1.14,8
81,{BRILLIANT BLUE},{MAGNESIUM STEARATE},0.02,1.0,0.02,1.16,9
82,{MAGNESIUM STEARATE},{BRILLIANT BLUE},0.02,0.03,0.86,1.16,9
83,{BRILLIANT BLUE},{TITANIUM DIOXIDE},0.02,0.89,0.02,1.06,8
84,{TITANIUM DIOXIDE},{BRILLIANT BLUE},0.02,0.02,0.84,1.06,8
85,{SUNSET YELLOW},{CROSCARMELLOSE SODIUM},0.02,0.7,0.02,1.58,7
86,{CROSCARMELLOSE SODIUM},{SUNSET YELLOW},0.02,0.04,0.44,1.58,7
87,{SUNSET YELLOW},"{SILICON DIOXIDE, ANHYDROUS}",0.01,0.6,0.02,1.37,6
88,"{SILICON DIOXIDE, ANHYDROUS}",{SUNSET YELLOW},0.01,0.03,0.44,1.37,6
89,{SUNSET YELLOW},{TALC},0.01,0.6,0.02,1.13,6
90,{TALC},{SUNSET YELLOW},0.01,0.03,0.53,1.13,6
91,{SUNSET YELLOW},{POLYETHYLENE GLYCOL},0.02,0.7,0.02,1.07,7
92,{POLYETHYLENE GLYCOL},{SUNSET YELLOW},0.02,0.03,0.66,1.07,7
93,{SUNSET YELLOW},{MICROCRYSTALLINE CELLULOSE},0.02,0.8,0.02,1.03,8
94,{MICROCRYSTALLINE CELLULOSE},{SUNSET YELLOW},0.02,0.02,0.78,1.03,8
95,{SUNSET YELLOW},{MAGNESIUM STEARATE},0.02,0.9,0.02,1.04,9
96,{MAGNESIUM STEARATE},{SUNSET YELLOW},0.02,0.03,0.86,1.04,9
97,{SUNSET YELLOW},{TITANIUM DIOXIDE},0.02,1.0,0.02,1.19,10
98,{TITANIUM DIOXIDE},{SUNSET YELLOW},0.02,0.03,0.84,1.19,10
99,{XANTHAN GUM},{LECITHIN},0.02,1.0,0.02,22.83,9
100,{LECITHIN},{XANTHAN GUM},0.02,0.5,0.04,22.83,9
101,{XANTHAN GUM},{POLYVINYL ALCOHOL},0.02,0.78,0.02,3.07,7
102,{POLYVINYL ALCOHOL},{XANTHAN GUM},0.02,0.07,0.25,3.07,7
103,{XANTHAN GUM},"{SILICON DIOXIDE, ANHYDROUS}",0.01,0.56,0.02,1.27,5
104,"{SILICON DIOXIDE, ANHYDROUS}",{XANTHAN GUM},0.01,0.03,0.44,1.27,5
105,{XANTHAN GUM},{LACTOSE MONOHYDRATE},0.01,0.67,0.02,1.47,6
106,{LACTOSE MONOHYDRATE},{XANTHAN GUM},0.01,0.03,0.45,1.47,6
107,{XANTHAN GUM},{TALC},0.02,1.0,0.02,1.88,9
108,{TALC},{XANTHAN GUM},0.02,0.04,0.53,1.88,9
109,{XANTHAN GUM},{MICROCRYSTALLINE CELLULOSE},0.02,0.78,0.02,1.0,7
110,{MICROCRYSTALLINE CELLULOSE},{XANTHAN GUM},0.02,0.02,0.78,1.0,7
111,{XANTHAN GUM},{MAGNESIUM STEARATE},0.02,0.89,0.02,1.03,8
112,{MAGNESIUM STEARATE},{XANTHAN GUM},0.02,0.02,0.86,1.03,8
113,{XANTHAN GUM},{TITANIUM DIOXIDE},0.02,1.0,0.02,1.19,9
114,{TITANIUM DIOXIDE},{XANTHAN GUM},0.02,0.03,0.84,1.19,9
115,{GLYCEROL},{MAIZE STARCH},0.01,0.6,0.02,5.36,6
116,{MAIZE STARCH},{GLYCEROL},0.01,0.13,0.11,5.36,6
117,{GLYCEROL},{POVIDONE},0.02,0.7,0.02,2.34,7
118,{POVIDONE},{GLYCEROL},0.02,0.06,0.3,2.34,7
119,{GLYCEROL},{HYPROMELLOSE},0.02,0.7,0.02,1.26,7
120,{HYPROMELLOSE},{GLYCEROL},0.02,0.03,0.56,1.26,7
121,{GLYCEROL},{IRON OXIDE},0.02,0.9,0.02,1.48,9
122,{IRON OXIDE},{GLYCEROL},0.02,0.04,0.61,1.48,9
123,{GLYCEROL},{MICROCRYSTALLINE CELLULOSE},0.01,0.5,0.02,0.64,5
124,{MICROCRYSTALLINE CELLULOSE},{GLYCEROL},0.01,0.02,0.78,0.64,5
125,{GLYCEROL},{MAGNESIUM STEARATE},0.02,1.0,0.02,1.16,10
126,{MAGNESIUM STEARATE},{GLYCEROL},0.02,0.03,0.86,1.16,10
127,{GLYCEROL},{TITANIUM DIOXIDE},0.02,0.7,0.02,0.83,7
128,{TITANIUM DIOXIDE},{GLYCEROL},0.02,0.02,0.84,0.83,7
129,"{SILICON DIOXIDE, HYDRATED}",{POLYVINYL ALCOHOL},0.01,0.5,0.03,1.98,6
130,{POLYVINYL ALCOHOL},"{SILICON DIOXIDE, HYDRATED}",0.01,0.06,0.25,1.98,6
131,"{SILICON DIOXIDE, HYDRATED}",{CROSCARMELLOSE SODIUM},0.02,0.67,0.03,1.51,8
132,{CROSCARMELLOSE SODIUM},"{SILICON DIOXIDE, HYDRATED}",0.02,0.04,0.44,1.51,8
133,"{SILICON DIOXIDE, HYDRATED}",{LACTOSE MONOHYDRATE},0.02,0.67,0.03,1.47,8
134,{LACTOSE MONOHYDRATE},"{SILICON DIOXIDE, HYDRATED}",0.02,0.04,0.45,1.47,8
135,"{SILICON DIOXIDE, HYDRATED}",{TALC},0.02,0.67,0.03,1.25,8
136,{TALC},"{SILICON DIOXIDE, HYDRATED}",0.02,0.04,0.53,1.25,8
137,"{SILICON DIOXIDE, HYDRATED}",{IRON OXIDE},0.02,0.67,0.03,1.1,8
138,{IRON OXIDE},"{SILICON DIOXIDE, HYDRATED}",0.02,0.03,0.61,1.1,8
139,"{SILICON DIOXIDE, HYDRATED}",{POLYETHYLENE GLYCOL},0.02,0.67,0.03,1.01,8
140,{POLYETHYLENE GLYCOL},"{SILICON DIOXIDE, HYDRATED}",0.02,0.03,0.66,1.01,8
141,"{SILICON DIOXIDE, HYDRATED}",{MICROCRYSTALLINE CELLULOSE},0.03,0.92,0.03,1.18,11
142,{MICROCRYSTALLINE CELLULOSE},"{SILICON DIOXIDE, HYDRATED}",0.03,0.03,0.78,1.18,11
143,"{SILICON DIOXIDE, HYDRATED}",{MAGNESIUM STEARATE},0.03,0.92,0.03,1.06,11
144,{MAGNESIUM STEARATE},"{SILICON DIOXIDE, HYDRATED}",0.03,0.03,0.86,1.06,11
145,"{SILICON DIOXIDE, HYDRATED}",{TITANIUM DIOXIDE},0.02,0.83,0.03,0.99,10
146,{TITANIUM DIOXIDE},"{SILICON DIOXIDE, HYDRATED}",0.02,0.03,0.84,0.99,10
147,{HYPROMELLOSE ACETATE SUCCINATE},{POLYVINYL ALCOHOL},0.01,0.45,0.03,1.8,5
148,{POLYVINYL ALCOHOL},{HYPROMELLOSE ACETATE SUCCINATE},0.01,0.05,0.25,1.8,5
149,{HYPROMELLOSE ACETATE SUCCINATE},{CROSCARMELLOSE SODIUM},0.02,0.91,0.03,2.05,10
150,{CROSCARMELLOSE SODIUM},{HYPROMELLOSE ACETATE SUCCINATE},0.02,0.05,0.44,2.05,10
151,{HYPROMELLOSE ACETATE SUCCINATE},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.64,0.03,1.45,7
152,"{SILICON DIOXIDE, ANHYDROUS}",{HYPROMELLOSE ACETATE SUCCINATE},0.02,0.04,0.44,1.45,7
153,{HYPROMELLOSE ACETATE SUCCINATE},{LACTOSE MONOHYDRATE},0.01,0.45,0.03,1.0,5
154,{LACTOSE MONOHYDRATE},{HYPROMELLOSE ACETATE SUCCINATE},0.01,0.03,0.45,1.0,5
155,{HYPROMELLOSE ACETATE SUCCINATE},{TALC},0.02,0.64,0.03,1.19,7
156,{TALC},{HYPROMELLOSE ACETATE SUCCINATE},0.02,0.03,0.53,1.19,7
157,{HYPROMELLOSE ACETATE SUCCINATE},{HYPROMELLOSE},0.01,0.45,0.03,0.82,5
158,{HYPROMELLOSE},{HYPROMELLOSE ACETATE SUCCINATE},0.01,0.02,0.56,0.82,5
159,{HYPROMELLOSE ACETATE SUCCINATE},{IRON OXIDE},0.02,0.73,0.03,1.2,8
160,{IRON OXIDE},{HYPROMELLOSE ACETATE SUCCINATE},0.02,0.03,0.61,1.2,8
161,{HYPROMELLOSE ACETATE SUCCINATE},{POLYETHYLENE GLYCOL},0.01,0.45,0.03,0.69,5
162,{POLYETHYLENE GLYCOL},{HYPROMELLOSE ACETATE SUCCINATE},0.01,0.02,0.66,0.69,5
163,{HYPROMELLOSE ACETATE SUCCINATE},{MICROCRYSTALLINE CELLULOSE},0.02,0.91,0.03,1.17,10
164,{MICROCRYSTALLINE CELLULOSE},{HYPROMELLOSE ACETATE SUCCINATE},0.02,0.03,0.78,1.17,10
165,{HYPROMELLOSE ACETATE SUCCINATE},{MAGNESIUM STEARATE},0.02,0.91,0.03,1.05,10
166,{MAGNESIUM STEARATE},{HYPROMELLOSE ACETATE SUCCINATE},0.02,0.03,0.86,1.05,10
167,{HYPROMELLOSE ACETATE SUCCINATE},{TITANIUM DIOXIDE},0.02,0.91,0.03,1.08,10
168,{TITANIUM DIOXIDE},{HYPROMELLOSE ACETATE SUCCINATE},0.02,0.03,0.84,1.08,10
169,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{CROSPOVIDONE},0.01,0.38,0.03,1.7,5
170,{CROSPOVIDONE},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.01,0.05,0.23,1.7,5
171,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{POLYVINYL ALCOHOL},0.01,0.38,0.03,1.52,5
172,{POLYVINYL ALCOHOL},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.01,0.05,0.25,1.52,5
173,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{CROSCARMELLOSE SODIUM},0.01,0.46,0.03,1.04,6
174,{CROSCARMELLOSE SODIUM},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.01,0.03,0.44,1.04,6
175,{SILICIFIED MICROCRYSTALLINE CELLULOSE},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.77,0.03,1.76,10
176,"{SILICON DIOXIDE, ANHYDROUS}",{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.02,0.06,0.44,1.76,10
177,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{LACTOSE MONOHYDRATE},0.01,0.38,0.03,0.85,5
178,{LACTOSE MONOHYDRATE},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.01,0.03,0.45,0.85,5
179,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{TALC},0.02,0.62,0.03,1.15,8
180,{TALC},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.02,0.04,0.53,1.15,8
181,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{HYPROMELLOSE},0.02,0.54,0.03,0.97,7
182,{HYPROMELLOSE},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.02,0.03,0.56,0.97,7
183,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{IRON OXIDE},0.02,0.62,0.03,1.01,8
184,{IRON OXIDE},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.02,0.03,0.61,1.01,8
185,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{POLYETHYLENE GLYCOL},0.02,0.69,0.03,1.05,9
186,{POLYETHYLENE GLYCOL},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.02,0.03,0.66,1.05,9
187,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{MICROCRYSTALLINE CELLULOSE},0.01,0.38,0.03,0.49,5
188,{MICROCRYSTALLINE CELLULOSE},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.01,0.02,0.78,0.49,5
189,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{MAGNESIUM STEARATE},0.03,0.92,0.03,1.07,12
190,{MAGNESIUM STEARATE},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.03,0.03,0.86,1.07,12
191,{SILICIFIED MICROCRYSTALLINE CELLULOSE},{TITANIUM DIOXIDE},0.03,0.85,0.03,1.01,11
192,{TITANIUM DIOXIDE},{SILICIFIED MICROCRYSTALLINE CELLULOSE},0.03,0.03,0.84,1.01,11
193,{HYDROGENATED CASTOR OIL},{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},0.01,0.43,0.03,7.34,6
194,{LOW SUBSTITUTED HYDROXYPROPYL CELLULOSE},{HYDROGENATED CASTOR OIL},0.01,0.25,0.06,7.34,6
195,{HYDROGENATED CASTOR OIL},{MANNITOL},0.01,0.36,0.03,2.04,5
196,{MANNITOL},{HYDROGENATED CASTOR OIL},0.01,0.07,0.18,2.04,5
197,{HYDROGENATED CASTOR OIL},{HYDROXYPROPYLCELLULOSE},0.01,0.43,0.03,2.0,6
198,{HYDROXYPROPYLCELLULOSE},{HYDROGENATED CASTOR OIL},0.01,0.07,0.21,2.0,6
199,{HYDROGENATED CASTOR OIL},{CROSPOVIDONE},0.01,0.43,0.03,1.89,6
200,{CROSPOVIDONE},{HYDROGENATED CASTOR OIL},0.01,0.06,0.23,1.89,6
201,{HYDROGENATED CASTOR OIL},"{SILICON DIOXIDE, ANHYDROUS}",0.01,0.36,0.03,0.82,5
202,"{SILICON DIOXIDE, ANHYDROUS}",{HYDROGENATED CASTOR OIL},0.01,0.03,0.44,0.82,5
203,{HYDROGENATED CASTOR OIL},{TALC},0.02,0.64,0.03,1.21,9
204,{TALC},{HYDROGENATED CASTOR OIL},0.02,0.04,0.53,1.21,9
205,{HYDROGENATED CASTOR OIL},{HYPROMELLOSE},0.02,0.57,0.03,1.03,8
206,{HYPROMELLOSE},{HYDROGENATED CASTOR OIL},0.02,0.03,0.56,1.03,8
207,{HYDROGENATED CASTOR OIL},{IRON OXIDE},0.03,0.86,0.03,1.41,12
208,{IRON OXIDE},{HYDROGENATED CASTOR OIL},0.03,0.05,0.61,1.41,12
209,{HYDROGENATED CASTOR OIL},{POLYETHYLENE GLYCOL},0.03,0.79,0.03,1.2,11
210,{POLYETHYLENE GLYCOL},{HYDROGENATED CASTOR OIL},0.03,0.04,0.66,1.2,11
211,{HYDROGENATED CASTOR OIL},{MICROCRYSTALLINE CELLULOSE},0.02,0.71,0.03,0.92,10
212,{MICROCRYSTALLINE CELLULOSE},{HYDROGENATED CASTOR OIL},0.02,0.03,0.78,0.92,10
213,{HYDROGENATED CASTOR OIL},{TITANIUM DIOXIDE},0.03,1.0,0.03,1.19,14
214,{TITANIUM DIOXIDE},{HYDROGENATED CASTOR OIL},0.03,0.04,0.84,1.19,14
215,{STEARIC ACID},{MAIZE STARCH},0.01,0.33,0.04,2.98,5
216,{MAIZE STARCH},{STEARIC ACID},0.01,0.11,0.11,2.98,5
217,{STEARIC ACID},{PREGELATINISED STARCH},0.01,0.33,0.04,3.19,5
218,{PREGELATINISED STARCH},{STEARIC ACID},0.01,0.12,0.1,3.19,5
219,{STEARIC ACID},{HYDROXYPROPYLCELLULOSE},0.01,0.33,0.04,1.56,5
220,{HYDROXYPROPYLCELLULOSE},{STEARIC ACID},0.01,0.06,0.21,1.56,5
221,{STEARIC ACID},{CROSPOVIDONE},0.01,0.4,0.04,1.77,6
222,{CROSPOVIDONE},{STEARIC ACID},0.01,0.06,0.23,1.77,6
223,{STEARIC ACID},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.53,0.04,1.22,8
224,"{SILICON DIOXIDE, ANHYDROUS}",{STEARIC ACID},0.02,0.04,0.44,1.22,8
225,{STEARIC ACID},{LACTOSE MONOHYDRATE},0.02,0.6,0.04,1.33,9
226,{LACTOSE MONOHYDRATE},{STEARIC ACID},0.02,0.05,0.45,1.33,9
227,{STEARIC ACID},{TALC},0.02,0.67,0.04,1.25,10
228,{TALC},{STEARIC ACID},0.02,0.05,0.53,1.25,10
229,{STEARIC ACID},{HYPROMELLOSE},0.03,0.8,0.04,1.44,12
230,{HYPROMELLOSE},{STEARIC ACID},0.03,0.05,0.56,1.44,12
231,{STEARIC ACID},{IRON OXIDE},0.02,0.67,0.04,1.1,10
232,{IRON OXIDE},{STEARIC ACID},0.02,0.04,0.61,1.1,10
233,{STEARIC ACID},{POLYETHYLENE GLYCOL},0.02,0.53,0.04,0.81,8
234,{POLYETHYLENE GLYCOL},{STEARIC ACID},0.02,0.03,0.66,0.81,8
235,{STEARIC ACID},{MICROCRYSTALLINE CELLULOSE},0.02,0.67,0.04,0.86,10
236,{MICROCRYSTALLINE CELLULOSE},{STEARIC ACID},0.02,0.03,0.78,0.86,10
237,{STEARIC ACID},{MAGNESIUM STEARATE},0.01,0.4,0.04,0.46,6
238,{MAGNESIUM STEARATE},{STEARIC ACID},0.01,0.02,0.86,0.46,6
239,{STEARIC ACID},{TITANIUM DIOXIDE},0.03,0.87,0.04,1.03,13
240,{TITANIUM DIOXIDE},{STEARIC ACID},0.03,0.04,0.84,1.03,13
241,{LECITHIN},{CROSPOVIDONE},0.01,0.28,0.04,1.23,5
242,{CROSPOVIDONE},{LECITHIN},0.01,0.05,0.23,1.23,5
243,{LECITHIN},{POLYVINYL ALCOHOL},0.03,0.78,0.04,3.07,14
244,{POLYVINYL ALCOHOL},{LECITHIN},0.03,0.13,0.25,3.07,14
245,{LECITHIN},{POVIDONE},0.01,0.33,0.04,1.11,6
246,{POVIDONE},{LECITHIN},0.01,0.05,0.3,1.11,6
247,{LECITHIN},{CROSCARMELLOSE SODIUM},0.02,0.44,0.04,1.0,8
248,{CROSCARMELLOSE SODIUM},{LECITHIN},0.02,0.04,0.44,1.0,8
249,{LECITHIN},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.39,0.04,0.89,7
250,"{SILICON DIOXIDE, ANHYDROUS}",{LECITHIN},0.02,0.04,0.44,0.89,7
251,{LECITHIN},{LACTOSE MONOHYDRATE},0.02,0.44,0.04,0.98,8
252,{LACTOSE MONOHYDRATE},{LECITHIN},0.02,0.04,0.45,0.98,8
253,{LECITHIN},{TALC},0.04,1.0,0.04,1.88,18
254,{TALC},{LECITHIN},0.04,0.08,0.53,1.88,18
255,{LECITHIN},{IRON OXIDE},0.02,0.5,0.04,0.82,9
256,{IRON OXIDE},{LECITHIN},0.02,0.04,0.61,0.82,9
257,{LECITHIN},{POLYETHYLENE GLYCOL},0.02,0.5,0.04,0.76,9
258,{POLYETHYLENE GLYCOL},{LECITHIN},0.02,0.03,0.66,0.76,9
259,{LECITHIN},{MICROCRYSTALLINE CELLULOSE},0.04,0.89,0.04,1.14,16
260,{MICROCRYSTALLINE CELLULOSE},{LECITHIN},0.04,0.05,0.78,1.14,16
261,{LECITHIN},{MAGNESIUM STEARATE},0.04,0.94,0.04,1.09,17
262,{MAGNESIUM STEARATE},{LECITHIN},0.04,0.05,0.86,1.09,17
263,{LECITHIN},{TITANIUM DIOXIDE},0.04,0.94,0.04,1.12,17
264,{TITANIUM DIOXIDE},{LECITHIN},0.04,0.05,0.84,1.12,17
265,{POLOXAMER},{MAIZE STARCH},0.01,0.28,0.04,2.48,5
266,{MAIZE STARCH},{POLOXAMER},0.01,0.11,0.11,2.48,5
267,{POLOXAMER},{POVIDONE},0.03,0.72,0.04,2.41,13
268,{POVIDONE},{POLOXAMER},0.03,0.11,0.3,2.41,13
269,{POLOXAMER},{CROSCARMELLOSE SODIUM},0.02,0.56,0.04,1.25,10
270,{CROSCARMELLOSE SODIUM},{POLOXAMER},0.02,0.05,0.44,1.25,10
271,{POLOXAMER},"{SILICON DIOXIDE, ANHYDROUS}",0.02,0.44,0.04,1.01,8
272,"{SILICON DIOXIDE, ANHYDROUS}",{POLOXAMER},0.02,0.04,0.44,1.01,8
273,{POLOXAMER},{LACTOSE MONOHYDRATE},0.02,0.44,0.04,0.98,8
274,{LACTOSE MONOHYDRATE},{POLOXAMER},0.02,0.04,0.45,0.98,8
275,{POLOXAMER},{TALC},0.01,0.33,0.04,0.63,6
276,{TALC},{POLOXAMER},0.01,0.03,0.53,0.63,6
277,{POLOXAMER},{HYPROMELLOSE},0.02,0.44,0.04,0.8,8
278,{HYPROMELLOSE},{POLOXAMER},0.02,0.03,0.56,0.8,8
279,{POLOXAMER},{IRON OXIDE},0.03,0.61,0.04,1.0,11
280,{IRON OXIDE},{POLOXAMER},0.03,0.04,0.61,1.0,11
281,{POLOXAMER},{POLYETHYLENE GLYCOL},0.02,0.5,0.04,0.76,9
282,{POLYETHYLENE GLYCOL},{POLOXAMER},0.02,0.03,0.66,0.76,9
283,{POLOXAMER},{MICROCRYSTALLINE CELLULOSE},0.04,0.94,0.04,1.21,17
