,LHS,RHS,support,confidence,coverage,lift,count
766,{POVIDONE},{SODIUM LAURIL SULFATE},0.04,0.13,0.3,0.92,16
767,{SODIUM LAURIL SULFATE},{CROSCARMELLOSE SODIUM},0.09,0.64,0.14,1.44,37
768,{CROSCARMELLOSE SODIUM},{SODIUM LAURIL SULFATE},0.09,0.2,0.44,1.44,37
769,{SODIUM LAURIL SULFATE},"{SILICON DIOXIDE, ANHYDROUS}",0.07,0.48,0.14,1.1,28
770,"{SILICON DIOXIDE, ANHYDROUS}",{SODIUM LAURIL SULFATE},0.07,0.16,0.44,1.1,28
771,{SODIUM LAURIL SULFATE},{LACTOSE MONOHYDRATE},0.09,0.66,0.14,1.45,38
772,{LACTOSE MONOHYDRATE},{SODIUM LAURIL SULFATE},0.09,0.2,0.45,1.45,38
773,{SODIUM LAURIL SULFATE},{TALC},0.09,0.62,0.14,1.16,36
774,{TALC},{SODIUM LAURIL SULFATE},0.09,0.16,0.53,1.16,36
775,{SODIUM LAURIL SULFATE},{HYPROMELLOSE},0.08,0.59,0.14,1.05,34
776,{HYPROMELLOSE},{SODIUM LAURIL SULFATE},0.08,0.15,0.56,1.05,34
777,{SODIUM LAURIL SULFATE},{IRON OXIDE},0.12,0.84,0.14,1.39,49
778,{IRON OXIDE},{SODIUM LAURIL SULFATE},0.12,0.2,0.61,1.39,49
779,{SODIUM LAURIL SULFATE},{POLYETHYLENE GLYCOL},0.09,0.66,0.14,1.0,38
780,{POLYETHYLENE GLYCOL},{SODIUM LAURIL SULFATE},0.09,0.14,0.66,1.0,38
781,{SODIUM LAURIL SULFATE},{MICROCRYSTALLINE CELLULOSE},0.13,0.95,0.14,1.22,55
782,{MICROCRYSTALLINE CELLULOSE},{SODIUM LAURIL SULFATE},0.13,0.17,0.78,1.22,55
783,{SODIUM LAURIL SULFATE},{MAGNESIUM STEARATE},0.12,0.86,0.14,1.0,50
784,{MAGNESIUM STEARATE},{SODIUM LAURIL SULFATE},0.12,0.14,0.86,1.0,50
785,{SODIUM LAURIL SULFATE},{TITANIUM DIOXIDE},0.14,0.97,0.14,1.15,56
786,{TITANIUM DIOXIDE},{SODIUM LAURIL SULFATE},0.14,0.16,0.84,1.15,56
787,{MANNITOL},{HYDROXYPROPYLCELLULOSE},0.05,0.26,0.18,1.23,19
788,{HYDROXYPROPYLCELLULOSE},{MANNITOL},0.05,0.22,0.21,1.23,19
789,{MANNITOL},{CROSPOVIDONE},0.04,0.21,0.18,0.92,15
790,{CROSPOVIDONE},{MANNITOL},0.04,0.16,0.23,0.92,15
791,{MANNITOL},{POLYVINYL ALCOHOL},0.03,0.18,0.18,0.71,13
792,{POLYVINYL ALCOHOL},{MANNITOL},0.03,0.12,0.25,0.71,13
793,{MANNITOL},{POVIDONE},0.05,0.28,0.18,0.93,20
794,{POVIDONE},{MANNITOL},0.05,0.16,0.3,0.93,20
795,{MANNITOL},{CROSCARMELLOSE SODIUM},0.06,0.33,0.18,0.75,24
796,{CROSCARMELLOSE SODIUM},{MANNITOL},0.06,0.13,0.44,0.75,24
797,{MANNITOL},"{SILICON DIOXIDE, ANHYDROUS}",0.06,0.33,0.18,0.76,24
798,"{SILICON DIOXIDE, ANHYDROUS}",{MANNITOL},0.06,0.13,0.44,0.76,24
799,{MANNITOL},{LACTOSE MONOHYDRATE},0.04,0.21,0.18,0.46,15
800,{LACTOSE MONOHYDRATE},{MANNITOL},0.04,0.08,0.45,0.46,15
801,{MANNITOL},{TALC},0.09,0.49,0.18,0.91,35
802,{TALC},{MANNITOL},0.09,0.16,0.53,0.91,35
803,{MANNITOL},{HYPROMELLOSE},0.1,0.57,0.18,1.02,41
804,{HYPROMELLOSE},{MANNITOL},0.1,0.18,0.56,1.02,41
805,{MANNITOL},{IRON OXIDE},0.14,0.78,0.18,1.28,56
806,{IRON OXIDE},{MANNITOL},0.14,0.22,0.61,1.28,56
807,{MANNITOL},{POLYETHYLENE GLYCOL},0.11,0.61,0.18,0.93,44
808,{POLYETHYLENE GLYCOL},{MANNITOL},0.11,0.16,0.66,0.93,44
809,{MANNITOL},{MICROCRYSTALLINE CELLULOSE},0.11,0.65,0.18,0.84,47
810,{MICROCRYSTALLINE CELLULOSE},{MANNITOL},0.11,0.15,0.78,0.84,47
811,{MANNITOL},{MAGNESIUM STEARATE},0.14,0.79,0.18,0.92,57
812,{MAGNESIUM STEARATE},{MANNITOL},0.14,0.16,0.86,0.92,57
813,{MANNITOL},{TITANIUM DIOXIDE},0.14,0.81,0.18,0.96,58
